Organism,class,Sequence_Length
Human,2,6900
Human,2,440
Human,2,6999
Human,0,1155
Human,4,1899
Human,4,1578
Human,4,689
Human,4,159
Human,4,497
Human,4,787
Human,4,498
Human,0,1074
Human,0,821
Human,0,201
Human,2,6948
Human,2,4347
Human,0,375
Human,0,1368
Human,0,375
Human,0,690
Human,0,168
Human,0,1293
Human,0,1293
Human,6,1419
Human,6,336
Human,3,1782
Human,5,2547
Human,5,2766
Human,5,831
Human,5,2382
Human,5,279
Human,1,2631
Human,1,2631
Human,1,2742
Human,1,2742
Human,1,2631
Human,1,628
Human,1,1479
Human,1,500
Human,1,443
Human,1,417
Human,1,190
Human,1,1137
Human,1,2304
Human,1,2742
Human,1,2685
Human,1,732
Human,4,150
Human,4,297
Human,4,168
Human,4,285
Human,4,150
Human,4,267
Human,4,58
Human,6,267
Human,6,6738
Human,6,6738
Human,6,987
Human,6,159
Human,6,201
Human,6,117
Human,6,96
Human,6,87
Human,0,993
Human,0,149
Human,0,244
Human,0,212
Human,0,272
Human,0,422
Human,0,294
Human,0,2064
Human,0,2082
Human,0,310
Human,0,768
Human,0,2082
Human,0,332
Human,0,377
Human,0,439
Human,0,487
Human,0,356
Human,0,357
Human,0,502
Human,0,127
Human,0,479
Human,0,2064
Human,0,339
Human,0,169
Human,0,322
Human,0,348
Human,0,2064
Human,0,294
Human,0,2064
Human,0,594
Human,0,294
Human,0,236
Human,0,434
Human,0,270
Human,0,344
Human,0,349
Human,0,295
Human,0,285
Human,0,253
Human,0,232
Human,0,504
Human,0,19
Human,0,164
Human,0,282
Human,0,291
Human,0,294
Human,0,354
Human,0,205
Human,0,354
Human,0,2064
Human,0,377
Human,0,300
Human,0,253
Human,0,333
Human,0,283
Human,0,502
Human,0,462
Human,0,394
Human,0,355
Human,0,597
Human,0,493
Human,0,393
Human,0,367
Human,0,459
Human,0,563
Human,0,2079
Human,0,1260
Human,4,277
Human,4,340
Human,4,1032
Human,4,409
Human,4,1185
Human,4,1185
Human,4,921
Human,4,95
Human,4,577
Human,1,1986
Human,1,2001
Human,1,234
Human,1,12
Human,1,253
Human,6,1485
Human,6,1452
Human,6,1452
Human,6,237
Human,6,235
Human,6,489
Human,6,354
Human,6,354
Human,6,501
Human,3,3795
Human,3,865
Human,3,522
Human,6,876
Human,6,222
Human,6,596
Human,6,378
Human,6,494
Human,6,1005
Human,6,1437
Human,6,168
Human,6,309
Human,6,1335
Human,6,1767
Human,6,86
Human,6,1233
Human,6,360
Human,6,707
Human,6,476
Human,6,675
Human,6,645
Human,6,669
Human,6,588
Human,6,51
Human,6,339
Human,6,285
Human,6,257
Human,6,434
Human,3,1647
Human,3,411
Human,3,525
Human,3,501
Human,3,490
Human,3,385
Human,3,487
Human,3,144
Human,6,2262
Human,6,1314
Human,0,2229
Human,0,464
Human,0,470
Human,0,2361
Human,0,493
Human,0,2508
Human,6,2004
Human,6,1443
Human,6,222
Human,6,1119
Human,6,1560
Human,6,993
Human,4,1200
Human,4,241
Human,4,723
Human,6,1539
Human,6,1686
Human,6,1521
Human,0,1692
Human,6,1956
Human,6,1917
Human,6,918
Human,6,1866
Human,6,1857
Human,3,1878
Human,3,1794
Human,3,204
Human,3,375
Human,3,231
Human,3,261
Human,3,315
Human,3,308
Human,3,768
Human,4,912
Human,4,377
Human,6,2112
Human,6,2103
Human,6,427
Human,4,1338
Human,4,751
Human,2,392
Human,2,177
Human,2,1794
Human,2,495
Human,2,1788
Human,2,219
Human,2,183
Human,2,452
Human,2,432
Human,2,171
Human,2,1875
Human,4,1242
Human,4,107
Human,4,726
Human,4,39
Human,4,660
Human,4,726
Human,4,726
Human,6,282
Human,6,690
Human,6,1857
Human,6,1536
Human,6,219
Human,6,1290
Human,6,996
Human,3,1425
Human,3,1092
Human,5,2922
Human,3,1641
Human,3,2703
Human,3,423
Human,3,333
Human,3,288
Human,3,345
Human,3,216
Human,3,183
Human,3,700
Human,3,177
Human,3,660
Human,3,360
Human,3,246
Human,3,375
Human,3,288
Human,3,216
Human,3,183
Human,1,2538
Human,1,2673
Human,1,366
Human,1,858
Human,1,66
Human,5,1632
Human,5,1224
Human,5,1596
Human,5,1224
Human,5,1650
Human,5,435
Human,5,450
Human,3,6678
Human,3,6489
Human,3,807
Human,3,839
Human,3,882
Human,3,2181
Human,3,2181
Human,3,277
Human,3,701
Human,3,231
Human,3,2181
Human,6,1038
Human,6,1041
Human,6,750
Human,6,558
Human,6,522
Human,6,549
Human,6,393
Human,5,2370
Human,5,2394
Human,3,2220
Human,3,240
Human,3,234
Human,3,240
Human,5,2397
Human,6,333
Human,6,96
Human,6,342
Human,6,2682
Human,6,651
Human,6,3534
Human,6,3444
Human,6,473
Human,6,492
Human,6,976
Human,6,198
Human,2,1383
Human,2,1062
Human,2,147
Human,2,810
Human,6,1188
Human,6,156
Human,6,1188
Human,6,459
Human,6,372
Human,6,71
Human,4,1656
Human,4,1656
Human,4,1656
Human,4,1656
Human,4,450
Human,4,480
Human,4,675
Human,4,531
Human,0,1005
Human,0,1005
Human,4,1101
Human,4,942
Human,4,933
Human,6,957
Human,6,981
Human,6,608
Human,1,474
Human,1,1647
Human,1,1824
Human,1,282
Human,1,1833
Human,6,1005
Human,6,1689
Human,6,1431
Human,6,1473
Human,6,1431
Human,6,807
Human,6,803
Human,6,734
Human,6,668
Human,6,237
Human,6,213
Human,6,98
Human,6,36
Human,6,36
Human,6,1431
Human,6,1176
Human,3,963
Human,3,729
Human,3,147
Human,3,756
Human,6,483
Human,6,483
Human,4,510
Human,4,1227
Human,4,1953
Human,4,420
Human,4,516
Human,4,654
Human,4,234
Human,4,114
Human,2,4323
Human,2,4389
Human,2,4341
Human,2,4377
Human,2,4320
Human,2,4419
Human,2,1030
Human,2,782
Human,2,63
Human,2,613
Human,2,747
Human,2,234
Human,2,120
Human,0,2856
Human,0,2784
Human,0,477
Human,1,1611
Human,1,1611
Human,1,1629
Human,1,1611
Human,2,4323
Human,2,4389
Human,2,4341
Human,2,4377
Human,2,4320
Human,2,4419
Human,2,942
Human,2,782
Human,2,63
Human,2,613
Human,2,747
Human,2,234
Human,2,120
Human,1,752
Human,1,752
Human,1,752
Human,1,752
Human,1,752
Human,1,628
Human,1,140
Human,1,500
Human,1,443
Human,1,417
Human,1,190
Human,1,165
Human,1,398
Human,1,860
Human,1,2742
Human,1,302
Human,1,108
Human,1,154
Human,1,380
Human,1,2631
Human,1,344
Human,1,175
Human,1,234
Human,1,210
Human,1,460
Human,1,2631
Human,1,443
Human,1,219
Human,1,510
Human,1,108
Human,1,415
Human,1,256
Human,1,154
Human,1,428
Human,1,2631
Human,1,481
Human,1,801
Human,1,2742
Human,1,208
Human,1,732
Human,1,2685
Human,1,336
Human,1,628
Human,1,416
Human,1,367
Human,1,589
Human,1,125
Human,1,2631
Human,1,2760
Human,1,589
Human,1,1479
Human,1,516
Human,1,834
Human,1,2304
Human,1,2631
Human,1,2742
Human,1,732
Human,2,6648
Human,2,6384
Human,2,5724
Human,2,5724
Human,2,5994
Human,2,4752
Human,2,4221
Human,2,312
Human,6,1554
Human,6,1302
Human,6,1144
Human,6,381
Human,6,951
Human,6,675
Human,6,693
Human,6,987
Human,6,774
Human,6,345
Human,6,552
Human,6,567
Human,6,1365
Human,6,1320
Human,6,1362
Human,6,179
Human,6,1365
Human,6,3294
Human,6,3294
Human,6,1023
Human,6,921
Human,6,987
Human,6,1029
Human,6,1023
Human,6,1005
Human,6,945
Human,0,1089
Human,0,1134
Human,6,2355
Human,6,1824
Human,6,1965
Human,6,627
Human,6,817
Human,4,426
Human,4,597
Human,4,426
Human,4,426
Human,4,474
Human,4,51
Human,0,1767
Human,0,915
Human,0,855
Human,0,684
Human,4,1053
Human,4,1014
Human,4,720
Human,4,651
Human,4,1119
Human,6,3975
Human,6,105
Human,6,3464
Human,6,3684
Human,5,4929
Human,5,4878
Human,5,4812
Human,5,4812
Human,5,690
Human,4,246
Human,4,1086
Human,4,358
Human,4,1035
Human,4,915
Human,4,573
Human,4,573
Human,4,1035
Human,4,246
Human,4,966
Human,4,192
Human,4,993
Human,4,561
Human,4,561
Human,4,1035
Human,1,4062
Human,1,3459
Human,1,717
Human,1,3459
Human,1,4017
Human,1,387
Human,6,1545
Human,6,212
Human,6,373
Human,6,1545
Human,6,85
Human,6,325
Human,6,1545
Human,6,333
Human,6,1365
Human,6,465
Human,6,258
Human,0,1302
Human,4,273
Human,4,954
Human,4,273
Human,4,360
Human,4,273
Human,4,147
Human,4,210
Human,4,453
Human,4,282
Human,4,315
Human,3,1557
Human,3,987
Human,3,1557
Human,3,564
Human,3,1563
Human,3,711
Human,3,408
Human,3,273
Human,1,1986
Human,1,2001
Human,1,234
Human,1,12
Human,1,253
Human,6,5883
Human,6,5817
Human,6,753
Human,6,459
Human,6,5883
Human,6,5817
Human,6,753
Human,6,459
Human,6,1314
Human,6,5883
Human,6,5817
Human,6,753
Human,6,459
Human,2,5739
Human,2,4491
Human,2,4509
Human,2,4521
Human,2,5739
Human,2,4518
Human,2,5739
Human,2,4518
Human,2,4518
Human,2,893
Human,2,609
Human,2,279
Human,6,5883
Human,6,5817
Human,6,753
Human,6,459
Human,0,1068
Human,0,1068
Human,0,1068
Human,0,1068
Human,0,682
Human,0,535
Human,0,412
Human,0,248
Human,0,221
Human,0,57
Human,6,5883
Human,6,5817
Human,6,753
Human,6,459
Chimpanzee,4,207
Chimpanzee,4,681
Chimpanzee,4,1248
Chimpanzee,4,1239
Chimpanzee,6,1008
Chimpanzee,6,960
Chimpanzee,0,1086
Chimpanzee,6,1764
Chimpanzee,6,1353
Chimpanzee,1,4512
Chimpanzee,1,4485
Chimpanzee,4,1965
Chimpanzee,4,1227
Chimpanzee,0,960
Chimpanzee,3,963
Chimpanzee,3,756
Chimpanzee,6,1218
Chimpanzee,0,993
Chimpanzee,3,2175
Chimpanzee,6,2301
Chimpanzee,6,2304
Chimpanzee,6,888
Chimpanzee,0,1527
Chimpanzee,3,1428
Chimpanzee,4,1923
Chimpanzee,0,1011
Chimpanzee,0,1260
Chimpanzee,6,972
Chimpanzee,0,1002
Chimpanzee,2,1782
Chimpanzee,0,1086
Chimpanzee,4,156
Chimpanzee,6,1026
Chimpanzee,3,1521
Chimpanzee,3,1572
Chimpanzee,3,1521
Chimpanzee,4,2232
Chimpanzee,5,1395
Chimpanzee,0,1128
Chimpanzee,6,1581
Chimpanzee,6,1614
Chimpanzee,6,1518
Chimpanzee,0,1191
Chimpanzee,0,1014
Chimpanzee,0,2508
Chimpanzee,0,2361
Chimpanzee,0,2229
Chimpanzee,0,2523
Chimpanzee,6,501
Chimpanzee,6,237
Chimpanzee,6,477
Chimpanzee,6,165
Chimpanzee,4,1200
Chimpanzee,4,1026
Chimpanzee,4,723
Chimpanzee,0,1494
Chimpanzee,2,4356
Chimpanzee,2,3138
Chimpanzee,0,996
Chimpanzee,6,1041
Chimpanzee,0,978
Chimpanzee,0,1128
Chimpanzee,0,1248
Chimpanzee,6,1026
Chimpanzee,6,1044
Chimpanzee,6,957
Chimpanzee,6,327
Chimpanzee,0,1083
Chimpanzee,4,1776
Chimpanzee,4,1779
Chimpanzee,6,1047
Chimpanzee,6,1362
Chimpanzee,6,1170
Chimpanzee,6,1443
Chimpanzee,6,1428
Chimpanzee,6,1389
Chimpanzee,6,753
Chimpanzee,6,1101
Chimpanzee,6,1020
Chimpanzee,0,1044
Chimpanzee,0,960
Chimpanzee,4,1899
Chimpanzee,4,1848
Chimpanzee,4,159
Chimpanzee,0,1002
Chimpanzee,1,1539
Chimpanzee,6,1857
Chimpanzee,6,1860
Chimpanzee,6,1290
Chimpanzee,6,819
Chimpanzee,0,1002
Chimpanzee,0,1413
Chimpanzee,6,1131
Chimpanzee,0,1260
Chimpanzee,6,996
Chimpanzee,6,1011
Chimpanzee,6,801
Chimpanzee,6,609
Chimpanzee,6,1011
Chimpanzee,0,1071
Chimpanzee,6,621
Chimpanzee,4,720
Chimpanzee,3,1110
Chimpanzee,3,990
Chimpanzee,3,963
Chimpanzee,3,510
Chimpanzee,3,237
Chimpanzee,3,144
Chimpanzee,0,1308
Chimpanzee,6,459
Chimpanzee,0,1215
Chimpanzee,0,1068
Chimpanzee,6,1797
Chimpanzee,6,1044
Chimpanzee,0,1302
Chimpanzee,0,2787
Chimpanzee,0,1356
Chimpanzee,1,2685
Chimpanzee,1,2658
Chimpanzee,2,2940
Chimpanzee,2,2853
Chimpanzee,2,2913
Chimpanzee,2,2637
Chimpanzee,0,918
Chimpanzee,2,4092
Chimpanzee,2,5406
Chimpanzee,2,5379
Chimpanzee,2,609
Chimpanzee,4,2736
Chimpanzee,4,2781
Chimpanzee,4,2736
Chimpanzee,4,2664
Chimpanzee,0,4188
Chimpanzee,0,1077
Chimpanzee,3,1734
Chimpanzee,3,627
Chimpanzee,4,1644
Chimpanzee,0,1122
Chimpanzee,6,699
Chimpanzee,3,1530
Chimpanzee,3,1410
Chimpanzee,3,1287
Chimpanzee,3,1308
Chimpanzee,3,1188
Chimpanzee,4,156
Chimpanzee,0,1008
Chimpanzee,0,1155
Chimpanzee,0,1038
Chimpanzee,0,903
Chimpanzee,0,4155
Chimpanzee,0,3534
Chimpanzee,0,3372
Chimpanzee,0,4380
Chimpanzee,0,4212
Chimpanzee,0,4443
Chimpanzee,0,4155
Chimpanzee,0,4353
Chimpanzee,4,1590
Chimpanzee,6,1545
Chimpanzee,6,1581
Chimpanzee,6,1296
Chimpanzee,3,1782
Chimpanzee,6,582
Chimpanzee,0,1005
Chimpanzee,6,546
Chimpanzee,0,2517
Chimpanzee,0,2463
Chimpanzee,0,2316
Chimpanzee,0,2289
Chimpanzee,0,2184
Chimpanzee,0,2037
Chimpanzee,0,2487
Chimpanzee,0,2502
Chimpanzee,6,1572
Chimpanzee,6,1710
Chimpanzee,6,1635
Chimpanzee,6,1251
Chimpanzee,6,837
Chimpanzee,6,771
Chimpanzee,0,960
Chimpanzee,6,522
Chimpanzee,0,1014
Chimpanzee,1,1581
Chimpanzee,1,186
Chimpanzee,0,2082
Chimpanzee,6,471
Chimpanzee,6,1038
Chimpanzee,4,915
Chimpanzee,1,1356
Chimpanzee,1,405
Chimpanzee,5,3261
Chimpanzee,4,1401
Chimpanzee,4,1203
Chimpanzee,4,1362
Chimpanzee,0,2073
Chimpanzee,0,2076
Chimpanzee,2,3921
Chimpanzee,2,3438
Chimpanzee,2,3789
Chimpanzee,2,3306
Chimpanzee,2,264
Chimpanzee,0,1887
Chimpanzee,0,1869
Chimpanzee,5,2922
Chimpanzee,4,1764
Chimpanzee,4,1653
Chimpanzee,4,1725
Chimpanzee,4,1806
Chimpanzee,4,1563
Chimpanzee,2,1236
Chimpanzee,2,681
Chimpanzee,2,621
Chimpanzee,2,1263
Chimpanzee,2,438
Chimpanzee,2,810
Chimpanzee,2,687
Chimpanzee,2,1260
Chimpanzee,0,1464
Chimpanzee,0,1365
Chimpanzee,0,429
Chimpanzee,6,1431
Chimpanzee,6,1473
Chimpanzee,6,1470
Chimpanzee,6,1176
Chimpanzee,6,1359
Chimpanzee,1,2919
Chimpanzee,1,2916
Chimpanzee,3,936
Chimpanzee,6,825
Chimpanzee,6,753
Chimpanzee,5,2388
Chimpanzee,5,2286
Chimpanzee,0,1362
Chimpanzee,0,900
Chimpanzee,4,1782
Chimpanzee,1,2640
Chimpanzee,1,2610
Chimpanzee,1,2586
Chimpanzee,1,2352
Chimpanzee,1,1518
Chimpanzee,4,771
Chimpanzee,4,588
Chimpanzee,1,2469
Chimpanzee,1,1944
Chimpanzee,1,1362
Chimpanzee,1,1230
Chimpanzee,6,1452
Chimpanzee,6,354
Chimpanzee,6,1422
Chimpanzee,6,1425
Chimpanzee,6,1014
Chimpanzee,6,876
Chimpanzee,3,1443
Chimpanzee,5,2520
Chimpanzee,5,2340
Chimpanzee,5,2553
Chimpanzee,1,2469
Chimpanzee,1,2295
Chimpanzee,1,2259
Chimpanzee,1,2484
Chimpanzee,1,2025
Chimpanzee,3,2067
Chimpanzee,3,1707
Chimpanzee,3,1725
Chimpanzee,3,2001
Chimpanzee,3,459
Chimpanzee,6,1782
Chimpanzee,6,1611
Chimpanzee,6,1734
Chimpanzee,3,2712
Chimpanzee,3,2583
Chimpanzee,6,2262
Chimpanzee,0,1368
Chimpanzee,0,1548
Chimpanzee,0,1545
Chimpanzee,0,1413
Chimpanzee,5,2394
Chimpanzee,5,2382
Chimpanzee,5,1923
Chimpanzee,6,1554
Chimpanzee,6,1485
Chimpanzee,6,504
Chimpanzee,5,7551
Chimpanzee,5,7533
Chimpanzee,5,1122
Chimpanzee,0,1014
Chimpanzee,4,4407
Chimpanzee,4,4305
Chimpanzee,4,4233
Chimpanzee,3,2160
Chimpanzee,0,1023
Chimpanzee,6,1056
Chimpanzee,1,3555
Chimpanzee,1,2742
Chimpanzee,3,3039
Chimpanzee,6,606
Chimpanzee,6,1950
Chimpanzee,6,2178
Chimpanzee,5,6054
Chimpanzee,5,5949
Chimpanzee,6,2604
Chimpanzee,3,2220
Chimpanzee,3,2103
Chimpanzee,3,240
Chimpanzee,4,954
Chimpanzee,4,273
Chimpanzee,6,2469
Chimpanzee,6,492
Chimpanzee,6,450
Chimpanzee,6,624
Chimpanzee,6,1395
Chimpanzee,6,762
Chimpanzee,6,1395
Chimpanzee,3,2409
Chimpanzee,3,2301
Chimpanzee,4,1338
Chimpanzee,4,1284
Chimpanzee,6,1224
Chimpanzee,6,1245
Chimpanzee,6,366
Chimpanzee,6,438
Chimpanzee,3,2496
Chimpanzee,3,2247
Chimpanzee,3,2499
Chimpanzee,3,2487
Chimpanzee,3,2244
Chimpanzee,3,2238
Chimpanzee,3,2220
Chimpanzee,3,2250
Chimpanzee,3,681
Chimpanzee,3,390
Chimpanzee,6,2721
Chimpanzee,6,603
Chimpanzee,6,3024
Chimpanzee,6,3363
Chimpanzee,6,2502
Chimpanzee,2,3651
Chimpanzee,2,3504
Chimpanzee,2,3558
Chimpanzee,5,1239
Chimpanzee,4,1692
Chimpanzee,4,1521
Chimpanzee,4,1437
Chimpanzee,3,2958
Chimpanzee,3,2949
Chimpanzee,0,4425
Chimpanzee,0,4410
Chimpanzee,0,4434
Chimpanzee,0,4434
Chimpanzee,0,405
Chimpanzee,5,2376
Chimpanzee,5,2385
Chimpanzee,5,2337
Chimpanzee,4,507
Chimpanzee,4,2520
Chimpanzee,6,957
Chimpanzee,6,981
Chimpanzee,1,1518
Chimpanzee,1,2742
Chimpanzee,1,2631
Chimpanzee,1,2685
Chimpanzee,1,2742
Chimpanzee,1,2742
Chimpanzee,1,2763
Chimpanzee,1,2325
Chimpanzee,1,1410
Chimpanzee,1,732
Chimpanzee,3,2808
Chimpanzee,3,3063
Chimpanzee,3,2976
Chimpanzee,3,2811
Chimpanzee,3,2649
Chimpanzee,1,4161
Chimpanzee,1,4113
Chimpanzee,1,3927
Chimpanzee,2,6948
Chimpanzee,2,6927
Chimpanzee,2,6891
Chimpanzee,5,4929
Chimpanzee,5,4878
Chimpanzee,5,4911
Chimpanzee,5,4878
Chimpanzee,6,1509
Chimpanzee,6,1353
Chimpanzee,6,1275
Chimpanzee,6,1455
Chimpanzee,6,843
Chimpanzee,6,357
Chimpanzee,0,1077
Chimpanzee,4,1134
Chimpanzee,4,1128
Chimpanzee,6,3435
Chimpanzee,6,1776
Chimpanzee,6,3216
Chimpanzee,1,4143
Chimpanzee,1,3834
Chimpanzee,1,4029
Chimpanzee,1,4062
Chimpanzee,6,1287
Chimpanzee,0,1269
Chimpanzee,0,1143
Chimpanzee,4,1503
Chimpanzee,6,1308
Chimpanzee,6,1134
Chimpanzee,6,2355
Chimpanzee,0,2070
Chimpanzee,0,1227
Chimpanzee,1,2982
Chimpanzee,1,2916
Chimpanzee,1,2154
Chimpanzee,6,1800
Chimpanzee,6,1716
Chimpanzee,4,1671
Chimpanzee,4,1593
Chimpanzee,4,453
Chimpanzee,4,978
Chimpanzee,6,1347
Chimpanzee,6,1233
Chimpanzee,6,621
Chimpanzee,0,3963
Chimpanzee,0,1146
Chimpanzee,6,1077
Chimpanzee,6,204
Chimpanzee,4,1371
Chimpanzee,6,798
Chimpanzee,6,564
Chimpanzee,6,483
Chimpanzee,1,2205
Chimpanzee,1,2595
Chimpanzee,1,1689
Chimpanzee,4,846
Chimpanzee,4,1662
Chimpanzee,0,1662
Chimpanzee,3,1083
Chimpanzee,3,1329
Chimpanzee,3,1506
Chimpanzee,4,912
Chimpanzee,3,2163
Chimpanzee,3,1416
Chimpanzee,3,1317
Chimpanzee,3,123
Chimpanzee,6,489
Chimpanzee,6,441
Chimpanzee,4,1056
Chimpanzee,4,852
Chimpanzee,4,723
Chimpanzee,4,1008
Chimpanzee,4,729
Chimpanzee,4,795
Chimpanzee,1,3213
Chimpanzee,1,3093
Chimpanzee,1,3045
Chimpanzee,1,2823
Chimpanzee,1,3237
Chimpanzee,1,3183
Chimpanzee,1,3189
Chimpanzee,4,1239
Chimpanzee,3,1737
Chimpanzee,3,1764
Chimpanzee,6,1860
Chimpanzee,6,1086
Chimpanzee,6,408
Chimpanzee,6,2289
Chimpanzee,6,2154
Chimpanzee,6,2130
Chimpanzee,6,2226
Chimpanzee,3,6678
Chimpanzee,3,6690
Chimpanzee,3,6501
Chimpanzee,4,2853
Chimpanzee,4,2484
Chimpanzee,4,2775
Chimpanzee,3,1770
Chimpanzee,3,1731
Chimpanzee,4,3591
Chimpanzee,4,3462
Chimpanzee,4,2853
Chimpanzee,4,3591
Chimpanzee,4,3339
Chimpanzee,4,3588
Chimpanzee,3,1686
Chimpanzee,3,1266
Chimpanzee,3,1206
Chimpanzee,1,3117
Chimpanzee,1,3261
Chimpanzee,1,3123
Chimpanzee,1,3108
Chimpanzee,1,3138
Chimpanzee,1,261
Chimpanzee,6,1389
Chimpanzee,6,1056
Chimpanzee,6,495
Chimpanzee,4,420
Chimpanzee,4,393
Chimpanzee,4,483
Chimpanzee,4,384
Chimpanzee,4,495
Chimpanzee,4,486
Chimpanzee,2,2424
Chimpanzee,2,2352
Chimpanzee,2,2262
Chimpanzee,2,2259
Chimpanzee,2,2007
Chimpanzee,2,540
Chimpanzee,2,408
Chimpanzee,5,2190
Chimpanzee,5,2199
Chimpanzee,6,2286
Chimpanzee,6,1923
Chimpanzee,6,1818
Chimpanzee,6,2181
Chimpanzee,6,2169
Chimpanzee,6,1812
Chimpanzee,6,1668
Chimpanzee,6,1839
Chimpanzee,6,1167
Chimpanzee,6,1053
Chimpanzee,1,3450
Chimpanzee,1,3393
Chimpanzee,1,3324
Chimpanzee,1,3441
Chimpanzee,5,234
Chimpanzee,5,3921
Chimpanzee,5,309
Chimpanzee,4,741
Chimpanzee,6,2016
Chimpanzee,6,639
Chimpanzee,6,231
Chimpanzee,6,1389
Chimpanzee,4,459
Chimpanzee,0,1368
Chimpanzee,0,168
Chimpanzee,1,1434
Chimpanzee,1,2469
Chimpanzee,1,2517
Chimpanzee,1,1662
Chimpanzee,2,4341
Chimpanzee,2,4311
Chimpanzee,2,4365
Chimpanzee,2,4323
Chimpanzee,0,2904
Chimpanzee,0,2748
Chimpanzee,0,2487
Chimpanzee,4,1446
Chimpanzee,4,1605
Chimpanzee,2,4338
Chimpanzee,2,4251
Chimpanzee,2,4101
Chimpanzee,0,4017
Chimpanzee,0,3366
Chimpanzee,1,2673
Chimpanzee,1,1167
Chimpanzee,0,1215
Chimpanzee,0,1212
Chimpanzee,0,1266
Chimpanzee,3,768
Chimpanzee,3,1545
Chimpanzee,3,1155
Chimpanzee,6,2280
Chimpanzee,6,2070
Chimpanzee,4,2214
Chimpanzee,4,2022
Chimpanzee,4,2163
Chimpanzee,6,987
Chimpanzee,2,3339
Chimpanzee,2,2808
Chimpanzee,6,558
Chimpanzee,6,5895
Chimpanzee,6,5829
Chimpanzee,6,5877
Chimpanzee,6,5856
Chimpanzee,2,3084
Chimpanzee,2,2949
Chimpanzee,2,2637
Chimpanzee,4,312
Chimpanzee,4,231
Chimpanzee,5,1650
Chimpanzee,5,1632
Chimpanzee,0,1134
Chimpanzee,0,1092
Chimpanzee,6,3444
Chimpanzee,6,3534
Chimpanzee,6,651
Chimpanzee,5,5598
Chimpanzee,5,5532
Chimpanzee,3,2220
Chimpanzee,3,1980
Chimpanzee,2,522
Chimpanzee,2,447
Chimpanzee,2,420
Chimpanzee,2,453
Chimpanzee,6,645
Chimpanzee,0,1290
Chimpanzee,3,1083
Chimpanzee,3,990
Chimpanzee,4,2103
Chimpanzee,4,1794
Chimpanzee,1,4227
Chimpanzee,1,4242
Chimpanzee,1,2295
Chimpanzee,1,1794
Chimpanzee,2,4923
Chimpanzee,3,2169
Chimpanzee,3,2169
Chimpanzee,3,2127
Chimpanzee,3,2118
Chimpanzee,3,2124
Chimpanzee,3,1869
Chimpanzee,2,7473
Chimpanzee,2,6885
Chimpanzee,2,7458
Chimpanzee,2,7401
Chimpanzee,2,684
Chimpanzee,5,1518
Chimpanzee,6,3042
Chimpanzee,6,3030
Chimpanzee,5,2295
Chimpanzee,6,1359
Chimpanzee,6,780
Chimpanzee,6,1161
Chimpanzee,2,3525
Chimpanzee,2,3381
Chimpanzee,6,4323
Chimpanzee,6,1155
Chimpanzee,2,1233
Chimpanzee,2,1062
Chimpanzee,2,1266
Chimpanzee,2,1161
Chimpanzee,1,2283
Chimpanzee,1,1146
Chimpanzee,1,2373
Chimpanzee,1,2391
Chimpanzee,5,2298
Chimpanzee,5,1851
Chimpanzee,4,1752
Chimpanzee,4,1773
Chimpanzee,4,1752
Chimpanzee,4,645
Chimpanzee,0,1008
Chimpanzee,4,1482
Chimpanzee,4,1440
Chimpanzee,4,1377
Chimpanzee,4,285
Chimpanzee,3,1743
Chimpanzee,6,1647
Chimpanzee,6,1656
Chimpanzee,5,8259
Chimpanzee,5,8334
Chimpanzee,5,8070
Chimpanzee,5,8112
Chimpanzee,5,8034
Chimpanzee,5,4269
Chimpanzee,4,1527
Chimpanzee,4,1401
Chimpanzee,6,3162
Chimpanzee,6,831
Chimpanzee,6,3123
Chimpanzee,6,807
Chimpanzee,6,3429
Chimpanzee,6,2058
Chimpanzee,3,1938
Chimpanzee,3,1158
Chimpanzee,6,645
Chimpanzee,6,693
Chimpanzee,4,1134
Chimpanzee,3,1527
Chimpanzee,3,1605
Chimpanzee,3,1434
Chimpanzee,5,1587
Chimpanzee,5,1689
Chimpanzee,6,2295
Chimpanzee,6,2184
Chimpanzee,6,1950
Chimpanzee,6,2274
Chimpanzee,1,1839
Chimpanzee,1,1908
Chimpanzee,1,1896
Chimpanzee,6,1611
Chimpanzee,6,1557
Chimpanzee,0,1830
Chimpanzee,4,4524
Chimpanzee,4,4506
Chimpanzee,4,1080
Chimpanzee,6,1581
Chimpanzee,6,1587
Chimpanzee,6,1374
Chimpanzee,6,1038
Chimpanzee,1,708
Chimpanzee,0,2610
Chimpanzee,0,2553
Chimpanzee,0,471
Chimpanzee,5,3519
Chimpanzee,5,3429
Chimpanzee,6,2121
Chimpanzee,6,2049
Chimpanzee,6,2019
Chimpanzee,6,1341
Chimpanzee,6,1611
Chimpanzee,6,1020
Chimpanzee,3,1734
Chimpanzee,3,627
Chimpanzee,4,1005
Chimpanzee,4,1176
Chimpanzee,4,1053
Chimpanzee,4,579
Chimpanzee,6,660
Chimpanzee,6,651
Chimpanzee,6,1314
Chimpanzee,4,696
Chimpanzee,0,4839
Chimpanzee,0,4752
Chimpanzee,0,4752
Chimpanzee,0,3468
Chimpanzee,4,807
Chimpanzee,4,729
Chimpanzee,6,492
Chimpanzee,5,1875
Chimpanzee,5,1572
Chimpanzee,5,1650
Chimpanzee,0,1215
Chimpanzee,3,957
Chimpanzee,3,660
Chimpanzee,6,3060
Chimpanzee,6,3558
Chimpanzee,6,3552
